Section,Question,A,B,C,D,Correct,Explanation
MCQ on Diabetes insipidus and SIADH,29. Which condition is a common cause of SIADH?,A) Lung cancer,B) Kidney failure,C) Iodine deficiency,D) Adrenal tumor,A,
MCQ on Diabetes insipidus and SIADH,30. The urine in SIADH is typically:,A) Dilute,B) Concentrated,C) Normal,D) Absent,B,
MCQ on Diabetes insipidus and SIADH,31. Which drug is used to treat SIADH by increasing water excretion?,A) Desmopressin,B) Tolvaptan,C) Metformin,D) Levothyroxine,B,
MCQ on Diabetes insipidus and SIADH,32. A diagnostic test for SIADH measures:,A) Serum sodium and osmolality,B) Blood glucose levels,C) Thyroid hormone levels,D) Cortisol levels,A,
MCQ on Diabetes insipidus and SIADH,"33. In SIADH, serum osmolality is typically:",A) High,B) Low,C) Normal,D) Unpredictable,B,
MCQ on Diabetes insipidus and SIADH,34. A nursing intervention for SIADH includes:,A) Encouraging high fluid intake,B) Fluid restriction,C) Administering high-sodium foods,D) Limiting physical activity,B,
MCQ on Diabetes insipidus and SIADH,35. Which symptom is NOT typical of SIADH?,A) Headache,B) Seizures,C) Polyuria,D) Nausea,C,
MCQ on Diabetes insipidus and SIADH,36. SIADH can be caused by:,"A) Certain medications (e.g., SSRIs)",B) Iodine deficiency,C) Parathyroid adenoma,D) Hyperglycemia,A,
MCQ on Diabetes insipidus and SIADH,37. The normal range for serum osmolality is:,A) 275-295 mOsm/kg,B) 300-350 mOsm/kg,C) 350-400 mOsm/kg,D) Below 250 mOsm/kg,A,
MCQ on Diabetes insipidus and SIADH,"38. In SIADH, urine osmolality is typically:",A) Low,B) High,C) Normal,D) Variable,B,
MCQ on Diabetes insipidus and SIADH,39. A severe complication of SIADH is:,A) Hypovolemic shock,B) Cerebral edema,C) Kidney stones,D) Osteoporosis,B,
MCQ on Diabetes insipidus and SIADH,40. Which test differentiates SIADH from diabetes insipidus?,A) Water deprivation test,B) Glucose tolerance test,C) ACTH stimulation test,D) Thyroid function test,A,
MCQ on Diabetes insipidus and SIADH,41. A patient with SIADH may experience:,A) Weight gain,B) Weight loss,C) Polyuria,D) Dehydration,A,
MCQ on Diabetes insipidus and SIADH,42. Which drug may be used to correct hyponatremia in SIADH?,A) Hypertonic saline,B) Desmopressin,C) Insulin,D) Calcitriol,A,
MCQ on Diabetes insipidus and SIADH,43. SIADH can be associated with:,A) Central nervous system disorders,B) Thyroid cancer,C) Adrenal insufficiency,D) Iodine deficiency,A,
MCQ on Diabetes insipidus and SIADH,44. A dietary recommendation for SIADH includes:,A) High-fluid intake,B) Fluid restriction,C) High-sugar diet,D) Low-potassium diet,B,
MCQ on Diabetes insipidus and SIADH,45. Which symptom of SIADH is due to severe hyponatremia?,A) Seizures,B) Polyuria,C) Weight loss,D) Tachycardia,A,
MCQ on Diabetes insipidus and SIADH,"46. Which imaging test may be used to identify causes of SIADH (e.g., lung cancer)?",A) Chest CT scan,B) Thyroid ultrasound,C) DEXA scan,D) Abdominal X-ray,A,
MCQ on Diabetes insipidus and SIADH,"47. In SIADH, urine output is typically:",A) Increased,B) Decreased,C) Normal,D) Absent,B,
MCQ on Diabetes insipidus and SIADH,48. A nursing priority in SIADH is to monitor:,A) Blood glucose levels,B) Neurological status,C) Thyroid function,D) Bone density,B,
MCQ on Diabetes insipidus and SIADH,49. Which condition is least likely to cause SIADH?,A) Pneumonia,B) Meningitis,C) Parathyroid adenoma,D) Stroke,C,
MCQ on Diabetes insipidus and SIADH,50. Tolvaptan in SIADH works by:,A) Increasing ADH production,B) Blocking ADH receptors,C) Increasing sodium excretion,D) Reducing calcium levels,B,
MCQ on Diabetes insipidus and SIADH,1. A tumor of the adrenal medulla that causes excessive catecholamine production is called:,A) Pheochromocytoma,B) Pituitary adenoma,C) Thyroid adenoma,D) Parathyroid carcinoma,A,
MCQ on Diabetes insipidus and SIADH,2. Which hormone is overproduced by a pituitary adenoma causing acromegaly?,A) Cortisol,B) Growth hormone,C) Thyroxine,D) Insulin,B,
MCQ on Diabetes insipidus and SIADH,3. A common symptom of a thyroid adenoma is:,A) Weight loss,B) Neck swelling,C) Bronze skin pigmentation,D) Tetany,B,
MCQ on Diabetes insipidus and SIADH,4. Parathyroid adenoma most commonly causes:,A) Hypoparathyroidism,B) Hyperparathyroidism,C) Hypothyroidism,D) Diabetes insipidus,B,
MCQ on Diabetes insipidus and SIADH,5. Pheochromocytoma is associated with which symptom?,A) Moon face,B) Episodic hypertension,C) Weight gain,D) Hypoglycemia,B,
MCQ on Diabetes insipidus and SIADH,6. The diagnostic test used to detect pheochromocytoma is:,A) Vanillylmandelic acid (VMA) test,B) Water deprivation test,C) Glucose tolerance test,D) Thyroid function test,A,
MCQ on Diabetes insipidus and SIADH,7. Which surgery is performed to remove a parathyroid adenoma?,A) Thyroidectomy,B) Parathyroidectomy,C) Adrenalectomy,D) Hypophysectomy,B,
MCQ on Diabetes insipidus and SIADH,8. A pituitary adenoma causing Cushing’s disease results in excess:,A) Growth hormone,B) Adrenocorticotropic hormone (ACTH),C) Thyroid-stimulating hormone (TSH),D) Antidiuretic hormone (ADH),B,
MCQ on Diabetes insipidus and SIADH,10. A thyroid nodule may be detected by:,A) Chest X-ray,B) Thyroid ultrasound,C) DEXA scan,D) ECG,B,
MCQ on Diabetes insipidus and SIADH,11. Which tumor causes excessive thyroid hormone production leading to hyperthyroidism?,A) Thyroid adenoma,B) Parathyroid adenoma,C) Adrenal adenoma,D) Pituitary carcinoma,A,
MCQ on Diabetes insipidus and SIADH,12. Acromegaly is caused by a tumor in which gland?,A) Thyroid,B) Pituitary,C) Adrenal,D) Parathyroid,B,
MCQ on Diabetes insipidus and SIADH,13. Which drug is used to manage cortisol excess in adrenal tumors?,A) Ketoconazole,B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Diabetes insipidus and SIADH,14. A common symptom of a pituitary adenoma causing acromegaly is:,A) Enlarged hands and feet,B) Weight loss,C) Bronze skin pigmentation,D) Tetany,A,
MCQ on Diabetes insipidus and SIADH,15. Fine needle aspiration biopsy is commonly used to diagnose:,A) Adrenal tumors,B) Thyroid nodules,C) Pituitary adenomas,D) Pancreatic tumors,B,
MCQ on Diabetes insipidus and SIADH,16. Which test is used to diagnose Cushing’s syndrome caused by an adrenal tumor?,A) Dexamethasone suppression test,B) Water deprivation test,C) Thyroid scan,D) VMA test,A,
MCQ on Diabetes insipidus and SIADH,17. A pheochromocytoma may cause:,A) Hypoglycemia,B) Episodic sweating and palpitations,C) Hypocalcemia,D) Weight gain,B,
MCQ on Diabetes insipidus and SIADH,18. Which surgery removes an adrenal tumor causing pheochromocytoma?,A) Adrenalectomy,B) Thyroidectomy,C) Parathyroidectomy,D) Hypophysectomy,A,
MCQ on Diabetes insipidus and SIADH,19. A thyroid carcinoma may spread to:,A) Lungs or bones,B) Kidneys,C) Spleen,D) Pancreas,A,
MCQ on Diabetes insipidus and SIADH,22. A pituitary adenoma causing prolactinoma may lead to:,A) Galactorrhea,B) Hypoglycemia,C) Tetany,D) Polyuria,A,
MCQ on Diabetes insipidus and SIADH,23. Which imaging test is used to detect pituitary adenomas?,A) MRI brain,B) Chest X-ray,C) Thyroid ultrasound,D) DEXA scan,A,
MCQ on Diabetes insipidus and SIADH,24. A nursing intervention for a patient with a parathyroid adenoma includes:,A) Monitoring for hypercalcemia,B) Encouraging a high-calcium diet,C) Restricting fluid intake,D) Limiting vitamin D intake,A,
MCQ on Diabetes insipidus and SIADH,25. Which drug is used to lower calcium levels in parathyroid adenoma?,A) Bisphosphonates,B) Insulin,C) Levothyroxine,D) Desmopressin,A,
MCQ on Diabetes insipidus and SIADH,26. A thyroid nodule that is “hot” on a thyroid scan indicates:,A) Hypothyroidism,B) Hyperthyroidism,C) No hormone production,D) Adrenal dysfunction,B,
MCQ on Diabetes insipidus and SIADH,27. Which symptom is associated with a pheochromocytoma?,A) Moon face,B) Severe headache,C) Weight gain,D) Cold intolerance,B,
MCQ on Diabetes insipidus and SIADH,28. The normal range for serum TSH is:,A) 0.4-4.0 mIU/L,B) 5.0-10.0 mIU/L,C) 10-20 mIU/L,D) Below 0.1 mIU/L,A,
MCQ on Diabetes insipidus and SIADH,29. A pituitary adenoma may cause:,A) Visual disturbances,B) Kidney stones,C) Hypoglycemia,D) Tetany,A,
MCQ on Diabetes insipidus and SIADH,30. Which test detects catecholamines in pheochromocytoma?,A) 24-hour urinary metanephrines,B) Glucose tolerance test,C) Thyroid function test,D) Serum calcium test,A,
MCQ on Diabetes insipidus and SIADH,31. A parathyroid adenoma can lead to:,A) Osteoporosis,B) Hypocalcemia,C) Weight loss,D) Seizures,A,
MCQ on Diabetes insipidus and SIADH,32. Which surgery is used to treat a pituitary adenoma?,A) Adrenalectomy,B) Hypophysectomy,C) Thyroidectomy,D) Parathyroidectomy,B,
MCQ on Diabetes insipidus and SIADH,33. A “cold” thyroid nodule on a scan suggests:,A) Hyperthyroidism,B) Potential malignancy,C) Hypothyroidism,D) Normal function,B,
MCQ on Diabetes insipidus and SIADH,34. Which drug may be used preoperatively for pheochromocytoma to control blood pressure?,"A) Alpha-blockers (e.g., phenoxybenzamine)",B) Insulin,C) Levothyroxine,D) Calcitriol,A,
MCQ on Diabetes insipidus and SIADH,35. A complication of a parathyroid adenoma is:,A) Kidney stones,B) Tetany,C) Hypoglycemia,D) Weight loss,A,
MCQ on Diabetes insipidus and SIADH,36. Which imaging test is used to locate adrenal tumors?,A) CT scan of the abdomen,B) Thyroid ultrasound,C) Chest X-ray,D) Bone scan,A,
MCQ on Diabetes insipidus and SIADH,37. A pituitary adenoma causing gigantism occurs in:,A) Adults,B) Children,C) Elderly,D) Infants only,B,
MCQ on Diabetes insipidus and SIADH,39. Which symptom is NOT typical of a parathyroid adenoma?,A) Bone pain,B) Muscle spasms,C) Fatigue,D) Kidney stones,B,
MCQ on Diabetes insipidus and SIADH,40. A patient with a pheochromocytoma may experience:,A) Tachycardia,B) Weight gain,C) Hypoglycemia,D) Hypocalcemia,A,
MCQ on Diabetes insipidus and SIADH,41. Which test is used to evaluate thyroid nodules for malignancy?,A) Fine needle aspiration biopsy,B) ACTH stimulation test,C) Water deprivation test,D) Dexamethasone suppression test,A,
MCQ on Diabetes insipidus and SIADH,44. A thyroid carcinoma may cause:,A) Hoarseness or difficulty swallowing,B) Hypoglycemia,C) Hypercalcemia,D) Weight loss only,A,
MCQ on Diabetes insipidus and SIADH,45. Which electrolyte imbalance is seen with a parathyroid adenoma?,A) Hypocalcemia,B) Hypercalcemia,C) Hyperkalemia,D) Hyponatremia,B,
MCQ on Diabetes insipidus and SIADH,46. A nursing priority for a patient with pheochromocytoma is to monitor:,A) Blood pressure,B) Blood glucose,C) Thyroid function,D) Calcium levels,A,
MCQ on Diabetes insipidus and SIADH,47. Which tumor is least likely to be malignant?,A) Parathyroid adenoma,B) Thyroid carcinoma,C) Pheochromocytoma,D) Pituitary carcinoma,A,
MCQ on Diabetes insipidus and SIADH,48. A Sestamibi scan is used to locate:,A) Thyroid nodules,B) Parathyroid adenomas,C) Pituitary tumors,D) Adrenal tumors,B,
MCQ on Diabetes insipidus and SIADH,49. A patient with a pituitary adenoma may experience:,A) Galactorrhea,B) Polyuria,C) Weight loss,D) Hypocalcemia,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis","50. Post-adrenalectomy for pheochromocytoma, patients may need:",A) Lifelong glucocorticoid replacement,B) Insulin therapy,C) Thyroid hormone replacement,D) Calcium supplements,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",1. Cholelithiasis refers to:,A) Inflammation of the gallbladder,B) Formation of gallstones in the gallbladder,C) Obstruction of the common bile duct,D) Infection of the bile ducts,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",2. The primary component of most gallstones is:,A) Calcium,B) Cholesterol,C) Sodium,D) Protein,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",3. A common risk factor for cholelithiasis is:,A) Low-fat diet,B) Obesity,C) Hypothyroidism,D) Dehydration,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",4. Which symptom is commonly associated with cholelithiasis?,A) Right upper quadrant pain,B) Left-sided chest pain,C) Lower abdominal pain,D) Generalized itching,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",5. Gallstones are most commonly found in which organ?,A) Liver,B) Gallbladder,C) Pancreas,D) Spleen,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",6. Which diagnostic test is used to detect gallstones?,A) Ultrasound of the abdomen,B) Chest X-ray,C) ECG,D) Blood glucose test,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",7. The “4 Fs” risk factors for cholelithiasis include all except:,A) Female,B) Fat (obesity),C) Fertile,D) Fever,D,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",8. Which dietary factor increases the risk of gallstone formation?,A) High-fiber diet,B) High-fat diet,C) Low-sugar diet,D) High-protein diet,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",9. A complication of cholelithiasis is:,A) Pancreatitis,B) Hypoglycemia,C) Osteoporosis,D) Hyperthyroidism,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",10. Which test measures liver function in cholelithiasis?,A) Liver function tests (LFTs),B) Thyroid function tests,C) ACTH stimulation test,D) Glucose tolerance test,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",11. The pain from gallstones is often triggered by:,A) Eating a fatty meal,B) Drinking water,C) Exercising,D) Fasting,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",12. Which surgical procedure removes gallstones along with the gallbladder?,A) Cholecystectomy,B) Appendectomy,C) Adrenalectomy,D) Thyroidectomy,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",13. Murphy’s sign is associated with:,A) Cholelithiasis,B) Cholecystitis,C) Choledocholithiasis,D) Pancreatitis,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",14. A dietary recommendation for preventing cholelithiasis is:,A) High-fat diet,"B) Low-fat, high-fiber diet",C) High-sugar diet,D) Low-protein diet,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",15. Which type of gallstone is most common?,A) Cholesterol stones,B) Pigment stones,C) Calcium stones,D) Protein stones,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",16. Cholecystitis is defined as:,A) Formation of gallstones,B) Inflammation of the gallbladder,C) Obstruction of the bile duct,D) Tumor of the gallbladder,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",17. The most common cause of acute cholecystitis is:,A) Gallstone obstruction,B) Bacterial infection,C) Iodine deficiency,D) High blood sugar,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",18. A classic symptom of acute cholecystitis is:,A) Right upper quadrant pain radiating to the shoulder,B) Left-sided chest pain,C) Generalized itching,D) Lower back pain,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",19. Which sign is positive when pain occurs on palpation of the gallbladder during inspiration?,A) Trousseau’s sign,B) Murphy’s sign,C) Chvostek’s sign,D) Babinski’s sign,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",20. Which diagnostic test is used to confirm cholecystitis?,A) Abdominal ultrasound,B) Thyroid scan,C) ECG,D) DEXA scan,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",21. A common complication of cholecystitis is:,A) Gallbladder rupture,B) Hypoglycemia,C) Osteoporosis,D) Hyperthyroidism,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",22. Which laboratory finding is elevated in cholecystitis?,A) White blood cell (WBC) count,B) Blood glucose,C) Thyroid hormone levels,D) Serum calcium,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",23. The treatment for acute cholecystitis often includes:,A) Antibiotics,B) Insulin,C) Levothyroxine,D) Calcitonin,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",24. Which surgical procedure is the definitive treatment for cholecystitis? **Correct Answer: A**,,,,,,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",25. Nausea and vomiting in cholecystitis are often triggered by:,A) Eating fatty foods,B) Drinking water,C) Exercising,D) Resting,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",26. Which imaging test visualizes the gallbladder and bile ducts in cholecystitis?,A) HIDA scan,B) Chest X-ray,C) MRI brain,D) Bone scan,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",27. A nursing intervention for cholecystitis includes:,A) Encouraging a high-fat diet,B) Monitoring for fever and pain,C) Restricting all fluids,D) Limiting antibiotic use,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",28. Chronic cholecystitis is often caused by:,A) Repeated gallstone irritation,B) High blood sugar,C) Iodine deficiency,D) Autoimmune disease,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",29. Which symptom is NOT typical of cholecystitis?,A) Fever,B) Jaundice,C) Tetany,D) Abdominal pain,C,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",30. A low-fat diet is recommended post-cholecystectomy to:,A) Prevent diarrhea,B) Increase bile production,C) Promote weight gain,D) Reduce calcium absorption,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",31. Choledocholithiasis refers to:,A) Gallstones in the gallbladder,B) Stones in the common bile duct,C) Inflammation of the gallbladder,D) Tumor of the bile duct,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",32. A common symptom of choledocholithiasis is:,A) Jaundice,B) Weight gain,C) Tetany,D) Hypoglycemia,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",33. Choledocholithiasis can lead to obstruction of:,A) The pancreatic duct,B) The common bile duct,C) The thyroid gland,D) The adrenal gland,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",34. Which diagnostic test is used to visualize bile duct stones?,A) Endoscopic retrograde cholangiopancreatography (ERCP),B) Thyroid ultrasound,C) ACTH stimulation test,D) Dexamethasone suppression test,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",35. A complication of choledocholithiasis is:,A) Cholangitis,B) Hypothyroidism,C) Osteoporosis,D) Hyperglycemia,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",36. Which laboratory finding is elevated in choledocholithiasis?,A) Serum bilirubin,B) Blood glucose,C) Thyroid hormone levels,D) Serum calcium,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",37. The treatment for choledocholithiasis often includes:,A) ERCP with stone removal,B) Insulin therapy,C) Thyroid hormone replacement,D) Calcium supplements,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",38. Which symptom is associated with bile duct obstruction in choledocholithiasis?,A) Dark urine,B) Weight loss,C) Muscle spasms,D) Cold intolerance,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",39. A nursing intervention for choledocholithiasis includes:,A) Monitoring for jaundice,B) Encouraging a high-fat diet,C) Restricting all fluids,D) Limiting antibiotic use,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",40. Which procedure may be performed to remove bile duct stones?,A) Cholecystectomy,B) ERCP,C) Thyroidectomy,D) Adrenalectomy,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",41. Itching (pruritus) in choledocholithiasis is caused by:,A) High blood sugar,B) Bile salt accumulation in the skin,C) Low calcium levels,D) Thyroid dysfunction,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",42. Which drug may be used to manage pain in choledocholithiasis?,"A) Analgesics (e.g., morphine)",B) Levothyroxine,C) Insulin,D) Calcitonin,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",43. Pale stools are a symptom of:,A) Cholelithiasis,B) Cholecystitis,C) Choledocholithiasis,D) Hypothyroidism,C,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",44. Which test confirms bile duct obstruction in choledocholithiasis?,A) Magnetic resonance cholangiopancreatography (MRCP),B) Thyroid scan,C) Glucose tolerance test,D) VMA test,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",45. A common cause of choledocholithiasis is:,A) Gallstones migrating from the gallbladder,B) High blood sugar,C) Iodine deficiency,D) Autoimmune disease,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",46. Which complication of choledocholithiasis requires urgent treatment?,A) Acute cholangitis,B) Hypoglycemia,C) Osteoporosis,D) Hyperthyroidism,A,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",47. A dietary recommendation for choledocholithiasis includes:,A) High-fat diet,B) Low-fat diet,C) High-sugar diet,D) Low-protein diet,B,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis",48. Which symptom is NOT typical of choledocholithiasis?,A) Jaundice,B) Dark urine,C) Tetany,D) Abdominal pain,C,
"MCQ on Cholelithiasis, Cholecystitis, Choledocholelithiasis","49. Post-ERCP, a patient should be monitored for:",A) Pancreatitis,B) Hypothyroidism,C) Hyperglycemia,D) Osteoporosis,A,
MCQ on Pancreatitis,50. Which organ is primarily affected in choledocholithiasis?,A) Gallbladder,B) Common bile duct,C) Pancreas,D) Thyroid,B,
MCQ on Pancreatitis,1. Pancreatitis is defined as:,A) Inflammation of the pancreas,B) Formation of gallstones,C) Obstruction of the bile duct,D) Inflammation of the gallbladder,A,
MCQ on Pancreatitis,2. The two main types of pancreatitis are:,A) Acute and chronic,B) Primary and secondary,C) Central and nephrogenic,D) Autoimmune and infectious,A,
MCQ on Pancreatitis,3. A common cause of acute pancreatitis is:,A) Gallstones,B) Iodine deficiency,C) Hypothyroidism,D) Hyperglycemia,A,
MCQ on Pancreatitis,4. Which symptom is characteristic of acute pancreatitis?,A) Severe epigastric pain,B) Weight gain,C) Tetany,D) Exophthalmos,A,
MCQ on Pancreatitis,5. Chronic pancreatitis is often associated with:,A) Short-term alcohol use,B) Long-term alcohol abuse,C) High-fiber diet,D) Low-fat diet,B,
MCQ on Pancreatitis,6. Which laboratory test is elevated in pancreatitis?,A) Serum amylase,B) Thyroid hormone levels,C) Blood glucose,D) Serum calcium,A,
MCQ on Pancreatitis,7. The normal range for serum amylase is approximately:,A) 25-125 U/L,B) 150-200 U/L,C) 200-300 U/L,D) Below 20 U/L,A,
MCQ on Pancreatitis,8. Another enzyme elevated in pancreatitis is:,A) Lipase,B) Cortisol,C) Thyroxine,D) Insulin,A,
MCQ on Pancreatitis,9. Which diagnostic imaging test is used to confirm pancreatitis?,A) Abdominal CT scan,B) Thyroid ultrasound,C) Chest X-ray,D) DEXA scan,A,
MCQ on Pancreatitis,10. A common symptom of pancreatitis is:,A) Nausea and vomiting,B) Weight gain,C) Hypoglycemia,D) Cold intolerance,A,
MCQ on Pancreatitis,11. Pain in acute pancreatitis often radiates to:,A) The back,B) The chest,C) The legs,D) The arms,A,
MCQ on Pancreatitis,12. A complication of acute pancreatitis is:,A) Pancreatic pseudocyst,B) Hyperthyroidism,C) Osteoporosis,D) Kidney stones,A,
MCQ on Pancreatitis,13. Which drug is used to manage pain in acute pancreatitis?,"A) Analgesics (e.g., morphine)",B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Pancreatitis,14. A nursing intervention for acute pancreatitis includes:,A) Encouraging a high-fat diet,B) Maintaining NPO (nothing by mouth) status,C) Restricting all fluids,D) Limiting pain medication,B,
MCQ on Pancreatitis,15. Which electrolyte imbalance is common in acute pancreatitis?,A) Hypocalcemia,B) Hyperkalemia,C) Hyponatremia,D) Hyperphosphatemia,A,
MCQ on Pancreatitis,17. Which condition can trigger acute pancreatitis?,A) Hypertriglyceridemia,B) Hypothyroidism,C) Iodine deficiency,D) Adrenal insufficiency,A,
MCQ on Pancreatitis,18. A dietary recommendation for pancreatitis includes:,A) High-fat diet,B) Low-fat diet,C) High-sugar diet,D) Low-protein diet,B,
MCQ on Pancreatitis,19. Which sign is associated with severe acute pancreatitis?,A) Cullen’s sign,B) Murphy’s sign,C) Chvostek’s sign,D) Trousseau’s sign,A,
MCQ on Pancreatitis,20. Grey Turner’s sign in pancreatitis indicates:,A) Bruising around the flank,B) Pain on inspiration,C) Facial twitching,D) Muscle spasms,A,
MCQ on Pancreatitis,21. Which test assesses pancreatic function in chronic pancreatitis?,A) Fecal elastase test,B) Thyroid function test,C) ACTH stimulation test,D) Water deprivation test,A,
MCQ on Pancreatitis,22. A common complication of chronic pancreatitis is:,A) Diabetes mellitus,B) Hyperthyroidism,C) Hypocalcemia,D) Kidney stones,A,
MCQ on Pancreatitis,23. Which imaging test visualizes the pancreatic duct in pancreatitis?,A) Endoscopic retrograde cholangiopancreatography (ERCP),B) Thyroid scan,C) Chest X-ray,D) Bone scan,A,
MCQ on Pancreatitis,24. A patient with pancreatitis should avoid:,A) Alcohol,B) High-fiber foods,C) Lean proteins,D) Non-starchy vegetables,A,
MCQ on Pancreatitis,25. Which symptom is NOT typical of acute pancreatitis?,A) Fever,B) Weight loss,C) Abdominal pain,D) Nausea,B,
MCQ on Pancreatitis,26. The treatment for acute pancreatitis often includes:,A) Intravenous fluids,B) Oral glucose,C) Thyroid hormone replacement,D) Calcium supplements,A,
MCQ on Pancreatitis,27. Chronic pancreatitis may lead to:,A) Malabsorption of fats,B) Hyperglycemia,C) Hypothyroidism,D) Hypercalcemia,A,
MCQ on Pancreatitis,28. Which drug may be used to reduce pancreatic secretions in acute pancreatitis?,A) Octreotide,B) Levothyroxine,C) Metformin,D) Desmopressin,A,
MCQ on Pancreatitis,29. A nursing priority in acute pancreatitis is to monitor:,A) Blood pressure and pain,B) Thyroid function,C) Blood glucose only,D) Calcium levels only,A,
MCQ on Pancreatitis,30. Which laboratory finding indicates severe pancreatitis?,A) Elevated C-reactive protein (CRP),B) Low thyroid hormone,C) High cortisol,D) Low insulin,A,
MCQ on Pancreatitis,31. A risk factor for chronic pancreatitis is:,A) Smoking,B) Low-fat diet,C) Hypothyroidism,D) Dehydration,A,
MCQ on Pancreatitis,32. Which symptom is specific to chronic pancreatitis?,A) Steatorrhea,B) Tetany,C) Polyuria,D) Weight gain,A,
MCQ on Pancreatitis,33. Pancreatic enzyme supplements are used in chronic pancreatitis to:,A) Reduce pain,B) Aid digestion,C) Lower blood sugar,D) Increase bile production,B,
MCQ on Pancreatitis,34. Which test confirms gallstone-related pancreatitis?,A) Abdominal ultrasound,B) Thyroid scan,C) ACTH stimulation test,D) Glucose tolerance test,A,
MCQ on Pancreatitis,35. A severe complication of acute pancreatitis is:,A) Acute respiratory distress syndrome (ARDS),B) Hyperthyroidism,C) Osteoporosis,D) Hypoglycemia,A,
MCQ on Pancreatitis,36. Which symptom of pancreatitis is due to fat malabsorption?,A) Jaundice,B) Steatorrhea,C) Fever,D) Tetany,B,
MCQ on Pancreatitis,37. A patient with acute pancreatitis may be placed on:,A) A high-fat diet,B) Bowel rest (NPO),C) A high-sugar diet,D) Unlimited fluids,B,
MCQ on Pancreatitis,38. Which drug is used to manage nausea in pancreatitis?,"A) Antiemetics (e.g., ondansetron)",B) Levothyroxine,C) Insulin,D) Calcitonin,A,
MCQ on Pancreatitis,39. Which condition is NOT a common cause of pancreatitis?,A) Gallstones,B) Alcohol abuse,C) Hypothyroidism,D) Hypertriglyceridemia,C,
MCQ on Pancreatitis,40. A patient with chronic pancreatitis may develop:,A) Pancreatic cancer,B) Hyperthyroidism,C) Kidney stones,D) Hypocalcemia,A,
